best_values,best_gens
0.1882621125060706,197
0.1295465108515974,195
0.23392914914183693,196
0.17703061785266572,200
0.19521194916052353,195
0.2043993965312656,198
0.09975877038575165,200
0.21022074938063584,199
0.2201347229514039,190
0.21503326482779572,198
0.1567697116486788,200
0.11577803167777434,196
0.1010755251587061,199
0.16340190835035928,200
0.23247401297029002,197
0.19696006704901636,199
0.15375449617762316,199
0.2570326677619623,198
0.17614962581466687,200
0.10541876416198592,196
0.21136953145767423,200
0.22146905641741244,193
0.1454407024565154,200
0.2756106879328475,195
0.09998871158385514,195
0.21898667948332617,199
0.12890367673679437,192
0.23317279403593405,199
0.13988661669162683,190
0.17468006749991405,196
0.15612714907138825,196
0.20113085950832899,195
0.1376156037260512,197
0.14824413386781687,200
0.2241614075742402,192
0.22056406965254327,199
0.2800416449746064,193
0.2172298421047043,175
0.23140003016131105,198
0.3155806524987672,180
0.10524405722998909,199
0.24802522189544662,188
0.16521988779116414,198
0.17019634625416247,197
0.1782402390161839,200
0.14973776045308584,197
0.09373484469037097,197
0.15020531532696113,195
0.1416926837316841,196
0.1859574065361156,195
0.19687362157742827,199
0.22221056740419742,198
0.13479892625776246,193
0.14923987226091784,199
0.06322932766649147,192
0.14568454701413502,191
0.16046640690598624,194
0.16255296324013857,197
0.11875133906659174,193
0.12782243806141524,195
0.14588650529721336,200
0.09978031669978948,194
0.16324157555801522,200
0.1371771749192381,193
0.12225472201998899,199
0.21202095136783372,199
0.19030726716717483,195
0.2584802754123072,194
0.1564945583980344,198
0.17125661704920647,199
0.17432271400825927,200
0.14651025421405395,198
0.13466367800043288,190
0.15425219935529855,189
0.22872938967283618,196
0.21056969257858116,193
0.15953078068065496,195
0.15566702062110638,191
0.09255374035936059,199
0.15336931046871216,191
0.21060534307448409,191
0.1765272716015791,193
0.12037465829600835,194
0.21813354872382051,193
0.12463190164032456,200
0.1364990344220378,199
0.15386753988632096,196
0.13578178571540223,185
0.08872944599298949,200
0.13345814944782974,194
0.30592808071690003,194
0.2957047570222504,197
0.27569140885622945,185
0.10410517088624305,198
0.19719505036791363,198
0.21214720431651957,199
0.1541154007171852,196
0.348357710784303,200
0.1978193191262041,197
0.25343148218848244,195
