best_values,best_gens
22.088813039617783,198
18.39952571459703,196
17.81130157764484,200
23.513568822020865,200
17.34811077921406,199
17.22221564268181,195
15.175609488816558,191
17.213065019051236,190
17.08231575958994,180
13.226410224204098,200
14.201101846705683,200
16.486347233007336,197
28.486476100188398,200
14.186836992501405,196
16.537306266338,191
14.821452507442675,197
16.568930310957693,197
24.85100194771214,196
9.807308727323987,198
12.80424841661408,200
16.70599830989054,199
29.448417319829325,189
14.511415229685152,197
23.763457870598536,183
16.94763546471568,199
19.775995951432726,193
15.081614345731113,189
26.24062978752078,191
16.401544305867958,193
24.950196896449526,190
26.806633678791354,200
30.262239330610342,190
28.77401166205604,198
16.83298234453101,186
36.907413340633916,195
14.01757768349952,192
15.183382257626462,198
14.674327991120348,200
14.150330324509813,182
18.468117858117363,168
27.184176188000787,183
21.64945980681296,185
14.668656083603118,189
16.174385109527613,200
18.206200055734584,187
15.606666723828875,189
15.516722199135357,200
14.889648205335021,199
24.176215338581937,193
13.104304625245344,196
18.952773004952853,194
21.93807480941498,196
15.473033612502823,184
14.002409042698455,193
14.594485753988982,195
18.12520698058663,197
18.54592069063264,198
14.3841035774833,191
23.539661857433426,200
22.719320935232158,177
15.364362839764496,197
42.271374927865295,179
13.919013937717512,197
13.270605784728906,179
16.513625662617972,200
23.49163574567595,153
22.220906637637697,196
16.15278807365657,196
18.7432461123505,198
16.19746523135511,191
19.127230302326197,196
16.676753237915282,170
21.734734101305232,192
18.167707207304392,200
22.7259397539446,199
16.6413160183714,190
13.04780915866286,200
13.913731164236353,189
15.963866996432635,195
17.187551422024427,198
16.785567253749477,200
19.494958203351757,189
22.472204805979413,197
17.26663029577434,200
14.347021411850783,196
26.93467746857292,198
18.676151541408107,196
22.147339006693784,200
15.009754969324094,200
15.559959836027208,173
14.43167295472784,198
21.566349352135155,196
19.314314706245934,199
12.289625444839233,194
21.040187821347686,199
17.34176431459074,182
16.768619535489503,181
18.960610777431917,199
10.352203309712392,198
17.97000333839455,194
